Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,AgeGroup
0,3,0,0.2711736617240513,1,0,0.014151057562208049,0,0.1,0,2
1,1,1,0.4722292033174164,1,0,0.13913573538264068,1,0.1,0,3
1,3,1,0.32143754712239253,0,0,0.015468569817999833,0,0.0,1,2
1,1,1,0.43453128926866047,1,0,0.10364429745562033,0,0.1,0,2
0,3,0,0.43453128926866047,0,0,0.015712553569072387,0,0.0,1,2
0,3,0,0.3465694898215632,0,0,0.01650950209357577,2,0.0,1,2
0,1,0,0.6732847449107816,0,0,0.10122885832000206,0,0.0,1,3
0,3,0,0.01985423473234481,3,1,0.04113566043083236,0,0.4,0,0
1,3,1,0.33400351847197784,0,2,0.021730754366528396,0,0.2,0,2
1,2,1,0.17064589092736868,1,0,0.058694292654020104,1,0.1,0,1
1,3,1,0.04498617743151546,1,1,0.03259622914329302,0,0.2,0,0
1,1,1,0.7235486303091229,0,0,0.051822148727810165,0,0.0,1,3
0,3,0,0.24604171902488062,0,0,0.015712553569072387,0,0.0,1,2
0,3,0,0.4847951746670017,1,5,0.06104473451835265,0,0.6,0,3
0,3,1,0.17064589092736868,0,0,0.015330377421392339,0,0.0,1,1
1,2,1,0.6858507162603669,0,0,0.03122992013728673,0,0.0,1,3
0,3,0,0.01985423473234481,4,1,0.056848213999904744,2,0.5,0,0
1,2,0,0.3465694898215632,0,0,0.025374310111545468,0,0.0,1,2
0,3,1,0.38426740387031916,1,0,0.03513366015444757,0,0.1,0,2
1,3,1,0.3465694898215632,0,0,0.014102260811993537,1,0.0,1,2
0,2,0,0.43453128926866047,0,0,0.050748620223090936,0,0.0,1,2
1,2,0,0.42196531791907516,0,0,0.025374310111545468,0,0.0,1,2
1,3,1,0.18321186227695402,0,0,0.015671954672893913,2,0.0,1,1
1,1,0,0.3465694898215632,0,0,0.06929138530460492,0,0.0,1,2
0,3,1,0.09525006282985675,3,1,0.04113566043083236,0,0.4,0,0
1,3,1,0.4722292033174164,1,5,0.061264319894317944,0,0.6,0,3
0,3,0,0.3465694898215632,0,0,0.014102260811993537,1,0.0,1,2
0,1,0,0.23347574767529528,3,2,0.5133418122566505,0,0.5,0,2
1,3,1,0.3465694898215632,0,0,0.01537917417160685,2,0.0,1,2
0,3,0,0.3465694898215632,0,0,0.015411575213749284,0,0.0,1,2
0,1,0,0.4973611460165871,0,0,0.05410739813385612,1,0.0,1,3
1,1,1,0.3465694898215632,1,0,0.2859895551532101,1,0.1,0,2
1,3,1,0.3465694898215632,0,0,0.015126992566498259,2,0.0,1,2
0,2,0,0.8240764011058055,0,0,0.020494635090094415,0,0.0,1,4
0,1,0,0.3465694898215632,1,0,0.16038672010106,1,0.1,0,2
0,1,0,0.5224930887157577,1,0,0.10149724044618187,0,0.1,0,3
1,3,0,0.3465694898215632,0,0,0.014110458666029575,1,0.0,1,2
0,3,0,0.2586076903744659,0,0,0.015712553569072387,0,0.0,1,2
0,3,1,0.22090977632570996,2,0,0.03513366015444757,0,0.2,0,1
1,3,1,0.17064589092736868,1,0,0.021942337075458514,1,0.1,0,1
0,3,1,0.4973611460165871,1,0,0.018493968331299484,0,0.1,0,3
0,2,1,0.33400351847197784,1,0,0.04098927018018883,0,0.1,0,2
0,3,0,0.3465694898215632,0,0,0.015411575213749284,1,0.0,1,2
1,2,1,0.032420206081930136,1,2,0.08115719346076702,1,0.3,0,0
1,3,1,0.23347574767529528,0,0,0.01537917417160685,2,0.0,1,2
0,3,0,0.3465694898215632,0,0,0.015712553569072387,0,0.0,1,2
0,3,0,0.3465694898215632,1,0,0.030253985132996517,2,0.1,0,2
1,3,1,0.3465694898215632,0,0,0.015126992566498259,2,0.0,1,2
0,3,0,0.3465694898215632,2,0,0.04231498029001666,1,0.2,0,2
0,3,1,0.22090977632570996,1,0,0.034743286152731485,0,0.1,0,1
0,3,0,0.08268409148027142,4,1,0.07746484096553544,0,0.5,0,0
0,3,0,0.2586076903744659,0,0,0.01522458606692728,0,0.0,1,2
1,1,1,0.610454888162855,1,0,0.1497654242623688,1,0.1,0,3
1,2,1,0.35913546117114853,1,0,0.050748620223090936,0,0.1,0,2
0,1,0,0.8115104297562201,0,1,0.1209753416358076,1,0.1,0,4
1,1,0,0.3465694898215632,0,0,0.06929138530460492,0,0.0,1,2
1,2,1,0.2586076903744659,0,0,0.020494635090094415,0,0.0,1,2
0,3,0,0.35285247549635584,0,0,0.014110458666029575,1,0.0,1,2
1,2,1,0.05755214878110078,1,2,0.05416439273810667,0,0.3,0,0
